con_code,weight
001979.SZ,0.4343
601155.SH,0.1452
002841.SZ,0.0283
002831.SZ,0.0289
601881.SH,0.0731
601163.SH,0.0544
603858.SH,0.0472
600977.SH,0.094
601127.SH,0.0317
601611.SH,0.0556
601966.SH,0.0434
603160.SH,0.0422
601985.SH,0.3421
600959.SH,0.1535
601021.SH,0.0709
002739.SZ,0.2284
600023.SH,0.2112
000333.SZ,1.7421
601939.SH,0.4267
601169.SH,1.0764
002174.SZ,0.098
002714.SZ,0.0893
601608.SH,0.0873
603993.SH,0.1746
300315.SZ,0.1381
601800.SH,0.2362
601555.SH,0.2723
601225.SH,0.226
601669.SH,0.3508
300251.SZ,0.0743
002602.SZ,0.1012
002594.SZ,0.2494
601992.SH,0.2051
601216.SH,0.1675
002558.SZ,0.0971
002555.SZ,0.0942
601933.SH,0.2408
300168.SZ,0.0991
601211.SH,0.8867
002736.SZ,0.3329
000166.SZ,0.334
300144.SZ,0.1325
600919.SH,0.1083
600926.SH,0.057
002508.SZ,0.1762
600958.SH,0.4753
002500.SZ,0.1873
601818.SH,0.6339
002475.SZ,0.2446
601336.SH,0.4927
300133.SZ,0.0774
601377.SH,0.3588
002470.SZ,0.1185
300104.SZ,0.3431
601018.SH,0.2378
002465.SZ,0.1716
300124.SZ,0.226
601718.SH,0.1099
002450.SZ,0.4583
601118.SH,0.0904
002466.SZ,0.3682
300072.SZ,0.2569
300070.SZ,0.308
002456.SZ,0.3357
002426.SZ,0.1468
002424.SZ,0.0686
002415.SZ,1.0246
002411.SZ,0.1156
300059.SZ,0.2862
002385.SZ,0.1169
601688.SH,0.6153
002352.SZ,0.0961
300027.SZ,0.1448
300033.SZ,0.1005
300017.SZ,0.1417
601877.SH,0.0783
601117.SH,0.1414
601618.SH,0.2578
002839.SZ,0.0275
002310.SZ,0.1713
601989.SH,0.5536
002299.SZ,0.0767
601888.SH,0.2662
600999.SH,0.385
002292.SZ,0.0701
601727.SH,0.2272
601633.SH,0.1462
601766.SH,0.9194
601788.SH,0.2822
601668.SH,1.4702
601229.SH,0.159
601997.SH,0.1008
601288.SH,1.336
601198.SH,0.1875
601375.SH,0.0664
002673.SZ,0.2497
600909.SH,0.0991
002797.SZ,0.0359
601901.SH,0.3481
002241.SZ,0.3501
002252.SZ,0.282
002236.SZ,0.3245
002230.SZ,0.4429
601186.SH,0.5611
601958.SH,0.0752
601099.SH,0.258
601899.SH,0.3646
300024.SZ,0.2047
601601.SH,1.0513
601866.SH,0.1153
002202.SZ,0.2224
601390.SH,0.6193
002195.SZ,0.143
601857.SH,0.3736
002304.SZ,0.5034
601088.SH,0.3573
002183.SZ,0.1139
002152.SZ,0.0922
601009.SH,0.38
002142.SZ,0.3821
601919.SH,0.2565
601600.SH,0.3687
601328.SH,1.6561
601998.SH,0.193
000338.SZ,0.3173
002131.SZ,0.0812
601318.SH,5.5525
601166.SH,2.1036
601628.SH,0.4474
601333.SH,0.1581
601872.SH,0.1002
601398.SH,1.1207
002074.SZ,0.1771
600018.SH,0.2037
002081.SZ,0.1633
601111.SH,0.165
601006.SH,0.4913
600048.SH,0.7035
002146.SZ,0.1807
002153.SZ,0.0671
002065.SZ,0.1792
601988.SH,0.78
002049.SZ,0.0843
002044.SZ,0.1791
002027.SZ,0.1399
002024.SZ,0.4284
600482.SH,0.0793
002008.SZ,0.2806
002007.SZ,0.1476
000100.SZ,0.2623
600340.SH,0.3559
600446.SH,0.073
600900.SH,0.943
600021.SH,0.0921
600406.SH,0.237
600015.SH,0.6081
600547.SH,0.2242
600489.SH,0.1787
600485.SH,0.2392
600352.SH,0.2424
600029.SH,0.2671
600271.SH,0.1984
600031.SH,0.3113
600436.SH,0.1584
600570.SH,0.1967
600030.SH,1.2916
600549.SH,0.1236
600522.SH,0.2305
600050.SH,0.5919
600535.SH,0.2295
600895.SH,0.1221
600893.SH,0.2602
600887.SH,1.1771
600886.SH,0.3131
600871.SH,0.054
601607.SH,0.269
600837.SH,1.1328
600827.SH,0.113
600820.SH,0.1687
600816.SH,0.2441
600804.SH,0.1776
600795.SH,0.3845
600741.SH,0.3161
600739.SH,0.2163
600737.SH,0.0926
600718.SH,0.1276
600705.SH,0.2475
600704.SH,0.1222
600703.SH,0.4491
600690.SH,0.3943
600688.SH,0.1421
600685.SH,0.079
600682.SH,0.155
600674.SH,0.2082
600663.SH,0.1699
600660.SH,0.3107
600649.SH,0.1282
600637.SH,0.2587
600606.SH,0.2763
600588.SH,0.1221
600585.SH,0.4637
600583.SH,0.132
600519.SH,2.255
600518.SH,0.5747
600498.SH,0.1245
600415.SH,0.1854
600383.SH,0.2556
600376.SH,0.1094
600373.SH,0.1163
600372.SH,0.0772
600369.SH,0.1593
600362.SH,0.1931
600332.SH,0.1422
600309.SH,0.4403
600297.SH,0.1524
600276.SH,0.8103
600256.SH,0.1297
600233.SH,0.0576
600221.SH,0.2021
600208.SH,0.1772
600196.SH,0.2708
600188.SH,0.0495
600177.SH,0.2139
600170.SH,0.1623
600157.SH,0.1737
600153.SH,0.1731
600150.SH,0.1484
600118.SH,0.149
600115.SH,0.1889
600111.SH,0.3689
600109.SH,0.2226
600104.SH,0.9875
600100.SH,0.2305
600089.SH,0.3702
600085.SH,0.1696
600074.SH,0.0947
600068.SH,0.2985
600066.SH,0.2761
600061.SH,0.1654
600060.SH,0.1054
600038.SH,0.095
600037.SH,0.0936
600036.SH,2.5196
600028.SH,0.611
600019.SH,0.6147
600016.SH,1.9199
600010.SH,0.354
600009.SH,0.3358
600008.SH,0.1392
600000.SH,1.4108
000983.SZ,0.1515
000977.SZ,0.1205
000963.SZ,0.2094
000961.SZ,0.0644
000959.SZ,0.1112
000938.SZ,0.075
000917.SZ,0.1127
000895.SZ,0.1985
000876.SZ,0.1629
000858.SZ,1.0035
000839.SZ,0.2408
000826.SZ,0.1579
000793.SZ,0.1987
000792.SZ,0.1492
000783.SZ,0.3023
000776.SZ,0.4965
000768.SZ,0.2331
000750.SZ,0.1597
000738.SZ,0.0802
000728.SZ,0.2227
000725.SZ,0.8728
000718.SZ,0.0797
000709.SZ,0.2131
000686.SZ,0.1399
000671.SZ,0.0875
000651.SZ,1.7657
000630.SZ,0.1865
000627.SZ,0.1238
000625.SZ,0.2639
000623.SZ,0.1998
000568.SZ,0.3706
000559.SZ,0.1369
000555.SZ,0.0452
000540.SZ,0.2154
000538.SZ,0.4246
000503.SZ,0.1675
000425.SZ,0.158
000423.SZ,0.3131
000415.SZ,0.1208
000413.SZ,0.2494
000402.SZ,0.1335
000157.SZ,0.1975
000156.SZ,0.0787
000069.SZ,0.2828
000063.SZ,0.5074
000060.SZ,0.1893
000009.SZ,0.1846
000008.SZ,0.1195
000002.SZ,1.4898
000001.SZ,0.8857
